"","Appointment_Date","Appointment_Count","Weekday","MonthYear","Month","patients","all_patients","ratio_patients"
"100",2018-04-10,9068,"Tuesday","2018-04","04",0,0,0
"101",2018-04-11,8659,"Wednesday","2018-04","04",0,0,0
"102",2018-04-12,7316,"Thursday","2018-04","04",0,0,0
"103",2018-04-13,8404,"Friday","2018-04","04",0,0,0
"104",2018-04-14,158,"Saturday","2018-04","04",0,0,0
"105",2018-04-15,13,"Sunday","2018-04","04",0,0,0
"106",2018-04-16,10518,"Monday","2018-04","04",0,0,0
"107",2018-04-17,9582,"Tuesday","2018-04","04",0,0,0
"108",2018-04-18,8764,"Wednesday","2018-04","04",0,0,0
"109",2018-04-19,6982,"Thursday","2018-04","04",0,0,0
"110",2018-04-20,9234,"Friday","2018-04","04",0,0,0
"111",2018-04-21,224,"Saturday","2018-04","04",0,0,0
"112",2018-04-22,1,"Sunday","2018-04","04",0,0,0
"113",2018-04-23,10579,"Monday","2018-04","04",0,0,0
"114",2018-04-24,9189,"Tuesday","2018-04","04",0,0,0
"115",2018-04-25,8328,"Wednesday","2018-04","04",0,0,0
"116",2018-04-26,8090,"Thursday","2018-04","04",0,0,0
"117",2018-04-27,9170,"Friday","2018-04","04",0,0,0
"118",2018-04-28,323,"Saturday","2018-04","04",0,0,0
"119",2018-04-29,3,"Sunday","2018-04","04",0,0,0
"120",2018-04-30,10543,"Monday","2018-04","04",0,0,0
"121",2018-05-01,9573,"Tuesday","2018-05","05",0,0,0
"122",2018-05-02,9085,"Wednesday","2018-05","05",0,0,0
"123",2018-05-03,7829,"Thursday","2018-05","05",0,0,0
"124",2018-05-04,9441,"Friday","2018-05","05",0,0,0
"125",2018-05-05,133,"Saturday","2018-05","05",0,0,0
"126",2018-05-06,13,"Sunday","2018-05","05",0,0,0
"127",2018-05-07,3,"Monday","2018-05","05",0,0,0
"128",2018-05-08,10208,"Tuesday","2018-05","05",0,0,0
"129",2018-05-09,9652,"Wednesday","2018-05","05",0,0,0
"130",2018-05-10,7499,"Thursday","2018-05","05",0,0,0
"131",2018-05-11,9215,"Friday","2018-05","05",0,0,0
"132",2018-05-12,242,"Saturday","2018-05","05",0,0,0
"133",2018-05-13,4,"Sunday","2018-05","05",0,0,0
"134",2018-05-14,10714,"Monday","2018-05","05",0,0,0
"135",2018-05-15,9665,"Tuesday","2018-05","05",0,0,0
"136",2018-05-16,8965,"Wednesday","2018-05","05",0,0,0
"137",2018-05-17,7524,"Thursday","2018-05","05",0,0,0
"138",2018-05-18,9097,"Friday","2018-05","05",0,0,0
"139",2018-05-19,438,"Saturday","2018-05","05",0,0,0
"140",2018-05-20,3,"Sunday","2018-05","05",0,0,0
"141",2018-05-21,10477,"Monday","2018-05","05",0,0,0
"142",2018-05-22,9728,"Tuesday","2018-05","05",0,0,0
"143",2018-05-23,8015,"Wednesday","2018-05","05",0,0,0
"144",2018-05-24,8055,"Thursday","2018-05","05",0,0,0
"145",2018-05-25,8394,"Friday","2018-05","05",0,0,0
"146",2018-05-26,116,"Saturday","2018-05","05",0,0,0
"147",2018-05-27,13,"Sunday","2018-05","05",0,0,0
"148",2018-05-28,4,"Monday","2018-05","05",0,0,0
"149",2018-05-29,9539,"Tuesday","2018-05","05",0,0,0
"150",2018-05-30,8887,"Wednesday","2018-05","05",0,0,0
"151",2018-05-31,7613,"Thursday","2018-05","05",0,0,0
"152",2018-06-01,8657,"Friday","2018-06","06",0,0,0
"153",2018-06-02,226,"Saturday","2018-06","06",0,0,0
"154",2018-06-03,13,"Sunday","2018-06","06",0,0,0
"155",2018-06-04,10474,"Monday","2018-06","06",0,0,0
